CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,WebsiteClickRate,TimeSpentOnSite,SocialMediaEngagement,AdClickHistory,GeneratedReview,Churn,patient_id
CUS-000000,18.0,Male,Houston,Silver,4,1071.12,Sports,2025-03-20,0.35,5.0,150,7,Electronics products exceeded my expectations.,0,001
CUS-000001,44.0,Male,New York,Silver,44,52.63,Books,2025-03-20,0.05,50.4,71,8,Not satisfied with the toys products.,0,001
CUS-000002,18.0,Female,Houston,Gold,2,538.31,Beauty,2024-06-12,0.01,17.7,12,8,Fast shipping and excellent grocery options!,0,001
CUS-000003,36.0,Female,San Francisco,Silver,21,1232.06,Toys,2025-01-14,0.65,5.0,105,7,Very satisfied with my toys purchase.,0,001
CUS-000004,18.0,Male,Chicago,Gold,25,320.95,Sports,2023-07-11,0.4,79.7,176,7,"Loved the electronics selection, very happy!",0,001
CUS-000005,33.0,Female,Chicago,Silver,35,585.58,Toys,2024-10-05,0.17,100.9,371,8,Fast shipping and excellent fashion options!,0,001
CUS-000006,69.0,Male,Miami,Silver,21,607.32,Sports,2024-06-12,0.36,113.8,39,3,Had issues with delivery for sports.,0,001
CUS-000007,48.0,Female,Los Angeles,Gold,33,52.63,Home,2023-09-03,0.14,28.2,0,5,"Service needs improvement, especially for electronics.",0,001
CUS-000008,69.0,Male,Dallas,Silver,21,1133.27,Grocery,2024-11-12,0.65,24.6,37,8,Grocery products exceeded my expectations.,0,001
CUS-000009,63.0,Male,Miami,Platinum,23,1581.2,Sports,2024-10-30,0.28,101.6,371,7,Disappointed with the recent electronics purchase.,0,001
CUS-000010,69.0,Female,Boston,Gold,22,52.63,Grocery,2024-10-30,0.16,107.7,72,9,Amazing quality and great customer service in home.,0,001
CUS-000011,18.0,Male,New York,Silver,9,3146.71,Books,2023-08-27,0.24,19.7,371,9,Amazing quality and great customer service in home.,0,001
CUS-000012,69.0,,New York,Gold,27,979.98,Grocery,2024-02-23,0.58,41.5,249,3,Fast shipping and excellent grocery options!,0,001
CUS-000013,18.0,Female,Houston,Platinum,26,68.17,Grocery,2025-03-20,0.26,9.1,204,11,Disappointed with the recent home purchase.,0,001
CUS-000014,34.0,Male,Houston,Gold,26,1141.5,Electronics,2025-03-20,0.5,37.2,371,8,"Loved the beauty selection, very happy!",0,001
CUS-000015,18.0,Male,Boston,Silver,20,2469.3,Books,2025-01-14,0.01,83.4,124,8,Disappointed with the recent home purchase.,0,001
CUS-000016,37.0,Male,Miami,Silver,43,1104.5,Grocery,2025-01-14,0.01,104.1,121,12,"Service needs improvement, especially for toys.",0,001
CUS-000017,29.0,Female,Dallas,Gold,43,345.56,Books,2023-08-16,0.27,5.0,0,3,"Service needs improvement, especially for toys.",1,001
CUS-000018,69.0,Male,Chicago,Gold,23,129.65,Sports,2024-03-23,0.17,5.0,0,5,Amazing quality and great customer service in beauty.,0,001
CUS-000019,55.0,Male,Dallas,Gold,22,85.61,Grocery,2025-01-14,0.22,5.0,25,3,"Service needs improvement, especially for toys.",0,001
CUS-000020,69.0,Male,Dallas,Gold,4,341.54,Electronics,2025-01-14,0.29,71.8,27,6,Fashion products exceeded my expectations.,0,001
CUS-000021,43.0,Male,Chicago,Gold,26,1000.01,Books,2023-08-31,0.54,8.4,265,3,Had issues with delivery for beauty.,0,001
